step,train_rmse,valid_rmse,train_vrmse,valid_vrmse
0,0.04491961767544617,0.044418794236012867,0.113516396901629,0.11737856960722379
1,0.03555599078200422,0.0350679282897285,0.08984108141682169,0.09159039333462715
2,0.030339567544492515,0.03001708909869194,0.07667095469193416,0.07817505140389715
3,0.05117090439071526,0.05103740894368717,0.12929310334158373,0.13427928356187685
4,0.0281881589341808,0.02788652027291911,0.07122416257321297,0.07265309430658817
5,0.026591911039373896,0.026399822905659676,0.06718993445371722,0.06857590936124325
6,0.025073058634727925,0.024845428498727933,0.06336202247588484,0.0647024004054921
7,0.02191720154505592,0.021731129980513027,0.055381450802087784,0.05667660678071635
8,0.02464401572607122,0.02455930970609188,0.06226708323837401,0.06421794609299727
9,0.018917047905290987,0.01877833210996219,0.0477987440588238,0.048965988148536
10,0.01784857573944169,0.017683217102395638,0.04510740616971308,0.04617004335990974
11,0.016848841010852978,0.016736351352717196,0.04257227990541372,0.043723986351064274
12,0.01631118499816538,0.016187057497778108,0.041218535521545925,0.04234277842832463
13,0.017574283134964137,0.017500142766428844,0.04441152445904843,0.04595679151160376
14,0.017230909955394162,0.017106467658387765,0.04354027057955931,0.04465038143098354
15,0.015095266446404092,0.014913823655141252,0.03814938055301035,0.03885513996439321
16,0.015371250416580084,0.015221535228192806,0.03884790938448261,0.0398204309333648
17,0.015928637714603462,0.015738061163574457,0.04024645320332802,0.040950690263084004
18,0.0145099508315996,0.014341301816914762,0.03666699946195156,0.03748697867350919
19,0.014763129128327777,0.01467947568744421,0.037300634726479244,0.03843143954873085
20,0.015103410082021812,0.015006189766739095,0.03816518607037561,0.03958403319120407
21,0.014278707060929353,0.014073182296540056,0.03608581803000725,0.03653400032115834
22,0.015181929233844753,0.014963450908128704,0.03835985071218766,0.03890160497810159
23,0.01372623868152365,0.013581439520099334,0.03468136470932681,0.03531922533043793
24,0.015927600179303874,0.015650891632373844,0.040247428390356874,0.04050774992044483
25,0.015033122882045604,0.014804560824164323,0.03798696724278433,0.03835912474564144
26,0.013907875303548199,0.013707019721290894,0.03514975698681565,0.03543976508080959
27,0.014069823531417159,0.013932803512683936,0.03555013700849838,0.036063289801989286
28,0.018792938692746935,0.018611958383449485,0.04748663158567102,0.04895038343966007
29,0.013295631385869809,0.013112091126718692,0.03359274797745653,0.03414829434560878
30,0.015018321917736315,0.014763381664774247,0.03794459602585784,0.038077665359846184
31,0.013877497910446412,0.013704442219542605,0.035062401933041776,0.03532921429723501
32,0.013449324445950019,0.013309909429933344,0.03399117480594296,0.034442399096276076
